date,GMM_Regime_0,GMM_Regime_1,GMM_Regime_2,GMM_Regime_3,GMM_Regime_4,GMM_Regime_5
1983-09-01,0.0,2.852878155720294e-93,4.2495454653617745e-09,0.9999999957504571,0.0,7.891408954349847e-20
1983-10-01,0.0,8.278426065003576e-49,9.842526353442883e-08,0.999999901574737,0.0,2.2945011834372385e-17
1983-11-01,0.0,2.8536358923089955e-40,5.587074530570723e-08,0.9999999259955202,0.0,1.8133734062755394e-08
1983-12-01,0.0,1.0249930944775386e-41,1.2369267755580763e-08,0.9999999876279659,0.0,2.7676343011665747e-12
1984-01-01,0.0,1.1477029247875864e-63,4.72241416156812e-08,0.999999952775853,0.0,8.831001410051276e-33
1984-02-01,0.0,1.8523841766530118e-63,1.7268681702342593e-10,0.9999999998273097,0.0,1.0500718612246079e-65
1984-03-01,0.0,3.1166363980275893e-47,2.73479990100885e-06,0.9999972652000956,0.0,1.8246035590444209e-25
1984-04-01,0.0,1.8225763102892258e-37,0.0006393899753371336,0.999360609980302,0.0,4.4364274797769e-11
1984-05-01,0.0,1.6882426035023435e-36,0.0042625934825229,0.9927190811603318,0.0,0.003018325357147256
1984-06-01,0.0,1.0246113090455233e-26,0.00794109726191479,0.9920514325810114,0.0,7.470157072869422e-06
1984-07-01,0.0,2.454639332277583e-13,0.009488879408667147,0.9905111205910909,0.0,5.478966762883355e-19
1984-08-01,0.0,1.74801115421712e-30,0.9999813703144074,1.8627210473380545e-05,0.0,2.475118019532925e-09
1984-09-01,0.0,1.5322712448996716e-23,0.9999414178732415,5.858180219323778e-05,0.0,3.2456662611467195e-10
1984-10-01,0.0,2.3787859948022806e-20,0.001799076818328236,0.9982009231816695,0.0,1.5090693905390996e-18
1984-11-01,0.0,1.4282243056084895e-22,0.9993953609617201,0.0006039796925761955,0.0,6.593457055983391e-07
1984-12-01,0.0,1.0517005465494014e-24,0.9994497911971215,0.0005502087992036075,0.0,3.676305969991487e-12
1985-01-01,0.0,1.5434417787908513e-35,0.9999953689419612,4.631057784547291e-06,0.0,2.518930648465046e-13
1985-02-01,0.0,1.8274928864069436e-37,0.9999999999792024,2.0797336118097816e-11,0.0,3.7469408934355716e-22
1985-03-01,0.0,2.8523746823742e-20,0.024904367596956627,0.9750756617883946,0.0,1.9970614651281732e-05
1985-04-01,0.0,4.312848835238124e-12,0.9999811424795757,1.8841442692557066e-05,0.0,1.607342110136651e-08
1985-05-01,0.0,1.703840842747716e-20,0.0001298832651234464,0.9998701167348739,0.0,1.2144769603232474e-30
