,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2011-03-01,0.054292815817942576,0.15948156520010615,0.21150237866434268,-0.0988293372281634,0.14501414988023412,0.0,0.212489817403286,-0.08576579143371181,0.03262414437221317,0.0
2011-04-01,0.053597707336737174,0.14307360880290054,0.2233361727912881,-0.10131855315034376,0.133618933550852,0.0,0.21975190145667664,-0.08989761928766764,0.035405503623534035,0.0
2011-05-01,0.060168176058384516,0.14838770170885818,0.21957792566728668,-0.0896876315383182,0.14347574100194366,0.0,0.22027611320324306,-0.06525078805591822,0.0531759227660476,0.0
2011-06-01,0.06707508561250015,0.14040440396405868,0.19888749155090327,-0.08647550837103049,0.13897398850245915,0.0,0.24046393147933018,-0.036750700684552155,0.09096888983516602,0.0
2011-07-01,0.03914983477098742,0.0,0.17501436690641586,-0.13669368758342532,0.11597603718472632,0.09204251157407818,0.2842341966255779,-0.027974494671186383,0.0,0.12891487068360258
2011-08-01,0.05621584969405899,0.0,0.1645054172034453,-0.11041784785708528,0.13134470215745725,0.09113731568263939,0.2805141568905662,0.013769595859757998,0.0,0.15209511465498946
2011-09-01,0.0542828789981716,0.11968867494345722,0.17580003243706424,-0.09945151100992218,0.08284398484742582,0.0,0.2782507562325816,0.025433077147766305,0.0,0.1642490843836108
2011-10-01,0.00894136223565579,0.0,0.13293118818323316,-0.18282754082509134,0.0,0.042222453746233124,0.3285662920728543,0.03130384159509417,0.1074406129401913,0.16576670840164667
2011-11-01,-0.1073179902295379,-0.05334709526192544,-0.012230438109879439,-0.326083922560851,-0.03944155880673628,0.0,0.3033992795088594,0.0,0.014605847386923125,0.1435738681352875
2011-12-01,-0.003482275824951841,0.0,0.10728146222128405,-0.21062271221442397,0.05364205193841927,0.0,0.3152846245361848,0.025269650227689868,0.08133958462828404,0.20307763840876206
2012-01-01,0.0288433342827313,0.07143332257605373,0.1214787699616147,-0.17093963527164693,0.0,0.11520211022358502,0.27392533706595423,0.013339492096345032,0.0,0.20483799852206908
2012-02-01,0.036834737357299516,0.06619847128728279,0.0,-0.13853964217939788,0.0,0.1079987423054697,0.28641271474183577,0.029387721427989497,0.10301193149061677,0.23161603921010807
2012-03-01,0.06627419008860158,0.0864111295911526,0.0,-0.09786783116250761,0.0,0.1604260156168242,0.24112835579112465,0.04359431528093575,0.11525072733777993,0.1890474351310736
2012-04-01,0.0,0.06789468725850346,0.08081645775736587,-0.036481245438205585,0.0,0.19508966707614955,0.22857852008560373,0.07389780827404037,0.1193414613149064,0.1979001527952251
2012-05-01,0.0,0.06750666295247819,0.07125568447301353,-0.03088658868832657,0.0,0.19210106418574743,0.22477900097056108,0.06506533491174216,0.15279142822833588,0.19561423558979515
2012-06-01,0.0,0.0636283638003326,0.05542833059623384,-0.048521502327741765,0.0,0.16698733883436784,0.24394465545001917,0.0581067720075126,0.1582225934138312,0.2051604435699611
2012-07-01,0.0,0.01613104408316763,-0.030756138549875103,-0.0688957143161985,0.0,0.15178132555388263,0.274697887698386,0.05688947914843595,0.16684311760759868,0.2340052930424556
2012-08-01,0.0,0.05220286540818956,-0.007355014003397188,0.014764539099004976,0.0,0.17517673299519199,0.2745887150184438,0.06948552223970968,0.17428982053094558,0.2321367907051174
2012-09-01,0.0,0.05557007115009482,0.05989154240030213,-0.0037128784373008914,0.09315413461756848,0.1785430794804282,0.24974719227801281,0.0,0.1488754451202991,0.21050565651599362
2012-10-01,0.0,0.06523174171133657,0.0811640008393771,0.004578525188577765,0.08871566023440035,0.18827176529346057,0.23122503777535866,0.0,0.1439624049833474,0.19685086397414164
2012-11-01,0.0,0.0910044543943558,0.0968034090200064,0.016570501286912377,0.1048723867439998,0.18476591056163627,0.18455140395377237,0.0,0.1437742060009812,0.17765772803833563
2012-12-01,0.0,0.09877927724594127,0.10125354905253493,0.04607650223762512,0.10713745079977341,0.15840778057567184,0.17607143726020275,0.1452407603625733,0.0,0.16703324246567733
2013-01-01,0.0,0.10334860169157487,0.09352268239926377,0.07496941046257223,0.10578192795862487,0.16085115990414642,0.16476651487250302,0.0,0.1343828559089673,0.1623768468023475
2013-02-01,0.0,0.10931610699673928,0.09303297590634337,0.06958458361020674,0.10685024603344061,0.1640694590904649,0.16676824837641704,0.0,0.1282544796427698,0.16212390034361832
2013-03-01,0.12427520000258548,0.10403023714400107,0.08550902364398465,0.0917303401482925,0.0,0.14660820150321516,0.17474109695225604,0.10799118700481336,0.0,0.1651147136008518
2013-04-01,0.0,0.09038558927745735,0.08586287486492311,0.09721592390749952,0.11942573451219682,0.0,0.1780267027679556,0.1506053947489478,0.13069291943711864,0.1477848604839011
2013-05-01,0.0,0.08038833116085423,0.08123179878718567,0.08989454269535647,0.11454655902787185,0.0,0.18842864055812922,0.15983698137406174,0.13571334842323904,0.14995979797330186
2013-06-01,0.0,0.07373514922372118,0.07850842552681375,0.08098373854932212,0.10843039211757437,0.0,0.1965327657642763,0.16475260333344527,0.14843674071764743,0.1486201847671996
2013-07-01,0.0,0.07581415223828403,0.0780384561805873,0.08042010662616657,0.11922274123150305,0.13113073788331467,0.196520446412276,0.0,0.15656737943763555,0.1622859799902329
2013-08-01,0.12767751992238793,0.07906509468635652,0.08834834400669603,0.08201482659652332,0.0,0.0,0.18996052906214042,0.11706261021072345,0.14583398648668325,0.17003708902848905
2013-09-01,0.1273772886679532,0.06799018195211776,0.08810881598763236,0.07467469940136125,0.0,0.11835532744286203,0.19901118842045976,0.0,0.14971885722334508,0.1747636409042685
2013-10-01,0.0,0.0822421240069221,0.09982236617408435,0.06284466891334675,0.0,0.1303104298129169,0.18499530523192162,0.10582388447269608,0.1507464105726071,0.18321481081550497
2013-11-01,0.12949953324146207,0.08311926914762147,0.09498363538224505,0.06169789078731246,0.0,0.0,0.17897927062408275,0.11178965109157646,0.15756554926129185,0.1823652004644078
2013-12-01,0.0,0.08510659283790697,0.08571131917143544,0.06405166379874468,0.1322388905828748,0.0,0.16902111263189695,0.11991352075674673,0.16080207280515105,0.1831548274152433
2014-01-01,0.0,0.07574638194009334,0.08902372871005965,0.07201359631734286,0.13369400290738087,0.0,0.17357924340287162,0.09670264457165835,0.16612582465478623,0.19311457749580702
2014-02-01,0.0,0.07895605440163776,0.08776312843328564,0.07569724314472806,0.1385407277780287,0.0,0.18067986652475831,0.08336146691905179,0.1625220166842824,0.19247949611422724
2014-03-01,0.0,0.0893260703363338,0.08918401500740196,0.07340453650425836,0.0,0.1447890116456161,0.1716508994590587,0.09537668438069909,0.1515469652028798,0.18472181746375219
2014-04-01,0.0,0.08944394480929965,0.09214519352787798,0.07264439788963585,0.0,0.14167051741540407,0.16667587018726435,0.10213486705082844,0.15594826034118023,0.17933694877850934
2014-05-01,0.0,0.08274765325875656,0.09507637477106103,0.06084752113014627,0.0,0.14249934082563695,0.16892577929420224,0.1026874548751223,0.1651566081060224,0.1820592677390523
2014-06-01,0.0,0.08562722619592447,0.09690506385590214,0.051281242906591466,0.11106237492938503,0.130907925262866,0.18956224509158662,0.0,0.1801870635116251,0.15446685824611922
2014-07-01,0.12946079928825194,0.08936182047438988,0.10759176961858774,0.06363798902055698,0.11636855991714852,0.0,0.1726544283712771,0.0,0.17193242998256303,0.14899220332722488
